script_id       ,part_no,unit_no,sentence_no,case_no,language,sentence
p7_u534_a1_1_e  ,7      ,534    ,a1         ,1      ,e       ,
p7_u534_b1_1_k  ,7      ,534    ,b1         ,1      ,k       ,
p7_u534_b1_1_e  ,7      ,534    ,b1         ,1      ,e       ,
p7_u534_a2_1_k  ,7      ,534    ,a2         ,1      ,k       ,
p7_u534_a2_1_e  ,7      ,534    ,a2         ,1      ,e       ,
p7_u534_b2_1_k  ,7      ,534    ,b2         ,1      ,k       ,
p7_u534_b2_1_e  ,7      ,534    ,b2         ,1      ,e       ,
p7_u534_a3_1_k  ,7      ,534    ,a3         ,1      ,k       ,
p7_u534_a3_1_e  ,7      ,534    ,a3         ,1      ,e       ,
p7_u534_b3_1_k  ,7      ,534    ,b3         ,1      ,k       ,
p7_u534_b3_1_e  ,7      ,534    ,b3         ,1      ,e       ,
p7_u534_a4_1_k  ,7      ,534    ,a4         ,1      ,k       ,
p7_u534_a4_1_e  ,7      ,534    ,a4         ,1      ,e       ,
p7_u6435_a1_1_k ,7      ,6435   ,a1         ,1      ,k       ,
p7_u6435_a1_1_e ,7      ,6435   ,a1         ,1      ,e       ,
p7_u6435_b1_1_k ,7      ,6435   ,b1         ,1      ,k       ,
p7_u6435_b1_1_e ,7      ,6435   ,b1         ,1      ,e       ,
p7_u6435_a2_1_k ,7      ,6435   ,a2         ,1      ,k       ,
p7_u6435_a2_1_e ,7      ,6435   ,a2         ,1      ,e       ,
p7_u6435_b2_1_k ,7      ,6435   ,b2         ,1      ,k       ,
p7_u6435_b2_1_e ,7      ,6435   ,b2         ,1      ,e       ,
p7_u6435_a3_1_k ,7      ,6435   ,a3         ,1      ,k       ,
p7_u6435_a3_1_e ,7      ,6435   ,a3         ,1      ,e       ,
p7_u6435_b3_1_k ,7      ,6435   ,b3         ,1      ,k       ,
p7_u6435_b3_1_e ,7      ,6435   ,b3         ,1      ,e       ,
p7_u6435_a4_1_k ,7      ,6435   ,a4         ,1      ,k       ,
p7_u6435_a4_1_e ,7      ,6435   ,a4         ,1      ,e       ,
p8_u1_a1_1_k    ,8      ,1      ,a1         ,1      ,k       ,대학교 합격 축하해!
p8_u1_a1_1_e    ,8      ,1      ,a1         ,1      ,e       ,Congratulations!
p8_u1_b1_1_k    ,8      ,1      ,b1         ,1      ,k       ,축하해줘서 고마워
p8_u1_b1_1_e    ,8      ,1      ,b1         ,1      ,e       ,Thanks for celebrating!
p8_u1_a2_1_k    ,8      ,1      ,a2         ,1      ,k       ,전공이 뭐야?
p8_u1_a2_1_e    ,8      ,1      ,a2         ,1      ,e       ,What is your major?
p8_u1_b2_1_k    ,8      ,1      ,b2         ,1      ,k       ,컴퓨터공학과야
p8_u1_b2_2_k    ,8      ,1      ,b2         ,2      ,k       ,경영학과야
p8_u1_b2_3_k    ,8      ,1      ,b2         ,3      ,k       ,시각디자인학과야
p8_u1_b2_1_e    ,8      ,1      ,b2         ,1      ,e       ,Computer Science
p8_u1_b2_2_e    ,8      ,1      ,b2         ,2      ,e       ,Business..?
p8_u1_b2_3_e    ,8      ,1      ,b2         ,3      ,e       ,Visual Arts
p8_u1_a3_1_k    ,8      ,1      ,a3         ,1      ,k       ,입학 준비는 잘 하고 있어?
p8_u1_a3_1_e    ,8      ,1      ,a3         ,1      ,e       ,How's going?
p8_u1_b3_1_k    ,8      ,1      ,b3         ,1      ,k       ,응
p8_u1_b3_1_e    ,8      ,1      ,b3         ,1      ,e       ,Good
p8_u1_a4_1_k    ,8      ,1      ,a4         ,1      ,k       ,즐거운 대학 생활 되길 바랄게
p8_u1_a4_1_e    ,8      ,1      ,a4         ,1      ,e       ,Hope you have blah blah
p8_u2_a1_1_k    ,8      ,2      ,a1         ,1      ,k       ,다음 강의 끝나고 뭐해?
p8_u2_a1_1_e    ,8      ,2      ,a1         ,1      ,e       ,
p8_u2_b1_1_k    ,8      ,2      ,b1         ,1      ,k       ,나 3시간동안 공강이야
p8_u2_b1_1_e    ,8      ,2      ,b1         ,1      ,e       ,
p8_u2_a2_1_k    ,8      ,2      ,a2         ,1      ,k       ,공강 때 뭐하고 있을거야?
p8_u2_a2_1_e    ,8      ,2      ,a2         ,1      ,e       ,
p8_u2_b2_1_k    ,8      ,2      ,b2         ,1      ,k       ,도서관에서 과제할거야
p8_u2_b2_2_k    ,8      ,2      ,b2         ,2      ,k       ,학교 식당에서 밥 먹을거야
p8_u2_b2_3_k    ,8      ,2      ,b2         ,3      ,k       ,학교 축제 구경할거야
p8_u2_b2_1_e    ,8      ,2      ,b2         ,1      ,e       ,
p8_u2_a3_1_k    ,8      ,2      ,a3         ,1      ,k       ,나랑 같이 갈래?
p8_u2_a3_1_e    ,8      ,2      ,a3         ,1      ,e       ,
p8_u2_b3_1_k    ,8      ,2      ,b3         ,1      ,k       ,그래
p8_u2_b3_1_e    ,8      ,2      ,b3         ,1      ,e       ,
p8_u2_a4_1_k    ,8      ,2      ,a4         ,1      ,k       ,신난다! 그때 보자
p8_u2_a4_1_e    ,8      ,2      ,a4         ,1      ,e       ,
p8_u3_a1_1_k    ,8      ,3      ,a1         ,1      ,k       ,경영학개론 시험이 언제야?
p8_u3_a1_1_e    ,8      ,3      ,a1         ,1      ,e       ,
p8_u3_b1_1_k    ,8      ,3      ,b1         ,1      ,k       ,다음 주 목요일이야
p8_u3_b1_1_e    ,8      ,3      ,b1         ,1      ,e       ,
p8_u3_a2_1_k    ,8      ,3      ,a2         ,1      ,k       ,시험 공부는 많이 했어?
p8_u3_a2_1_e    ,8      ,3      ,a2         ,1      ,e       ,
p8_u3_b2_1_k    ,8      ,3      ,b2         ,1      ,k       ,10회독 했어
p8_u3_b2_2_k    ,8      ,3      ,b2         ,2      ,k       ,이제 겨우 한 번 봤어
p8_u3_b2_3_k    ,8      ,3      ,b2         ,3      ,k       ,아직 시작도 안했어
p8_u3_b2_1_e    ,8      ,3      ,b2         ,1      ,e       ,
p8_u3_a3_1_k    ,8      ,3      ,a3         ,1      ,k       ,나랑 똑같네! 과제는 다 했어?
p8_u3_a3_1_e    ,8      ,3      ,a3         ,1      ,e       ,
p8_u3_b3_1_k    ,8      ,3      ,b3         ,1      ,k       ,나는 어제 과제 제출했어
p8_u3_b3_1_e    ,8      ,3      ,b3         ,1      ,e       ,
p8_u3_a4_1_k    ,8      ,3      ,a4         ,1      ,k       ,벌써 제출했다니 대단해
p8_u3_a4_1_e    ,8      ,3      ,a4         ,1      ,e       ,
p8_u4_a1_1_k    ,8      ,4      ,a1         ,1      ,k       ,
p8_u4_a1_1_e    ,8      ,4      ,a1         ,1      ,e       ,
p8_u4_b1_1_k    ,8      ,4      ,b1         ,1      ,k       ,
p8_u4_b1_1_e    ,8      ,4      ,b1         ,1      ,e       ,
p8_u4_a2_1_k    ,8      ,4      ,a2         ,1      ,k       ,
p8_u4_a2_1_e    ,8      ,4      ,a2         ,1      ,e       ,
p8_u4_b2_1_k    ,8      ,4      ,b2         ,1      ,k       ,
p8_u4_b2_1_e    ,8      ,4      ,b2         ,1      ,e       ,
p8_u4_a3_1_k    ,8      ,4      ,a3         ,1      ,k       ,
p8_u4_a3_1_e    ,8      ,4      ,a3         ,1      ,e       ,
p8_u4_b3_1_k    ,8      ,4      ,b3         ,1      ,k       ,
p8_u4_b3_1_e    ,8      ,4      ,b3         ,1      ,e       ,
p8_u4_a4_1_k    ,8      ,4      ,a4         ,1      ,k       ,
p8_u4_a4_1_e    ,8      ,4      ,a4         ,1      ,e       ,
p8_u5_a1_1_k    ,8      ,5      ,a1         ,1      ,k       ,
p8_u5_a1_1_e    ,8      ,5      ,a1         ,1      ,e       ,
p8_u5_b1_1_k    ,8      ,5      ,b1         ,1      ,k       ,
p8_u5_b1_1_e    ,8      ,5      ,b1         ,1      ,e       ,
p8_u5_a2_1_k    ,8      ,5      ,a2         ,1      ,k       ,
p8_u5_a2_1_e    ,8      ,5      ,a2         ,1      ,e       ,
p8_u5_b2_1_k    ,8      ,5      ,b2         ,1      ,k       ,
p8_u5_b2_1_e    ,8      ,5      ,b2         ,1      ,e       ,
p8_u5_a3_1_k    ,8      ,5      ,a3         ,1      ,k       ,
p8_u5_a3_1_e    ,8      ,5      ,a3         ,1      ,e       ,
p8_u5_b3_1_k    ,8      ,5      ,b3         ,1      ,k       ,
p8_u5_b3_1_e    ,8      ,5      ,b3         ,1      ,e       ,
p8_u5_a4_1_k    ,8      ,5      ,a4         ,1      ,k       ,
p8_u5_a4_1_e    ,8      ,5      ,a4         ,1      ,e       ,
p8_u6_a1_1_k    ,8      ,6      ,a1         ,1      ,k       ,
p8_u6_a1_1_e    ,8      ,6      ,a1         ,1      ,e       ,
p8_u6_b1_1_k    ,8      ,6      ,b1         ,1      ,k       ,
p8_u6_b1_1_e    ,8      ,6      ,b1         ,1      ,e       ,
p8_u6_a2_1_k    ,8      ,6      ,a2         ,1      ,k       ,
p8_u6_a2_1_e    ,8      ,6      ,a2         ,1      ,e       ,
p8_u6_b2_1_k    ,8      ,6      ,b2         ,1      ,k       ,
p8_u6_b2_1_e    ,8      ,6      ,b2         ,1      ,e       ,
p8_u6_a3_1_k    ,8      ,6      ,a3         ,1      ,k       ,
p8_u6_a3_1_e    ,8      ,6      ,a3         ,1      ,e       ,
p8_u6_b3_1_k    ,8      ,6      ,b3         ,1      ,k       ,
p8_u6_b3_1_e    ,8      ,6      ,b3         ,1      ,e       ,
p8_u6_a4_1_k    ,8      ,6      ,a4         ,1      ,k       ,
p8_u6_a4_1_e    ,8      ,6      ,a4         ,1      ,e       ,
